Bill_id,Bill_description,topic_name,classification,qa_review,qa_notes
HB1466,Virginia Natural Resources Commitment Fund; extending application deadline.,Environment and Conservation,Derived from LIS bill summary,,
HB1072,Sewage sludge; local authority to test and monitor land application within its political boundaries.,Environment and Conservation,Derived from LIS bill summary,,
HB1204,Local government; appropriation of local school funds to families for compulsory student attendance.,Family and Children,Derived from LIS bill summary,,
HB1373,Regional special ed.; DOE to assess enhancements & strategies to maximize use of funds for students.,Family and Children,Derived from LIS bill summary,,
HB1010,"School crossing zones; large children's sports complexes, Planning District 8 (Northern Virginia).",Family and Children,Derived from LIS bill summary,,
HB1499,DOE; policies relating to instructional material that contains sexually explicit content.,Family and Children,Derived from LIS bill summary,,
HB1222,"Social services, local departments of; child abuse and neglect, recorded interviews.",Family and Children,Derived from LIS bill summary,,
HB1208,"Public education; early childhood care and education, child care access calculations, report.",Family and Children,Derived from LIS bill summary,,
HB1327,Fictive kin; definition.,Family and Children,Derived from LIS bill summary,,
HB1027,"Children; use of communication systems to facilitate certain offenses, exception.",Family and Children,Derived from LIS bill summary,,
HB1490,"Child abuse or neglect; establishes centralized hotline for reports or complaints, report.",Family and Children,Derived from LIS bill summary,,
HB1177,Local rent stabilization authority; civil penalty.,Family and Children,Derived from LIS bill summary,,
HB1166,"Financial institutions; check cashers, expiration of registration, delayed effective date.",Financial Institutions and Services,Derived from LIS bill summary,,
HB1307,Mortgage lenders and brokers; criminal history records check.,Financial Institutions and Services,Derived from LIS bill summary,,
HB1309,Consumer finance companies; additional charges.,Financial Institutions and Services,Derived from LIS bill summary,,
HB1524,"Assault firearms; carrying in public areas prohibited, exceptions, penalty.",Firearms,Derived from LIS bill summary,,
HB1482,"Law-enforcement officers; restrictions on wearing of facial coverings, exceptions, penalty.",Firearms,Derived from LIS bill summary,,
HB1015,"Firearms, etc.; carrying concealed weapon by persons convicted of misdemeanor hate crime prohibited.",Firearms,Derived from LIS bill summary,,
HB1472,"Relief; Johnson, Messiah Aladar, compensation for wrongful incarceration.",Firearms,Derived from LIS bill summary,,
HB1303,Nonresident concealed handgun permits; VSP to issue within 90 days of receipt of application.,Firearms,Derived from LIS bill summary,,
HB1082,"Crimes by gangs; definition of ""predicate criminal act,"" penalties.",Firearms,Derived from LIS bill summary,,
HB1035,"Public schools; school security and discipline, employment of school security officers, training.",Firearms,Derived from LIS bill summary,,
HB1525,"Firearms, certain; definitions, possession, transportation, or purchase by certain persons, penalty.",Firearms,Derived from LIS bill summary,,
HB1300,"State Police,  Department of; purchase of handguns or other weapons of certain officers.",Firearms,Derived from LIS bill summary,,
HB1427,"Handguns; limitation on purchases, exemption.",Firearms,Derived from LIS bill summary,,
HB1034,"Charitable gaming; use of proceeds, adjusted gross receipts, effective date.","Gambling, Lotteries, Etc.",Derived from LIS bill summary,,
HB1157,"Charitable gaming; denial, suspension, or revocation of permit.","Gambling, Lotteries, Etc.",Derived from LIS bill summary,,
HB1407,"Charitable gaming; veterans service organizations, use of proceeds.","Gambling, Lotteries, Etc.",Derived from LIS bill summary,,
HB1318,Hospitals; emergency department physicians.,Health and Healthcare,Derived from LIS bill summary,,
HB1123,"Income tax, state; credit for certain health care providers.",Health and Healthcare,Derived from LIS bill summary,,
HB1021,Affordable housing; development of an assisted living facility.,Health and Healthcare,Derived from LIS bill summary,,
HB1088,"Assisted living facilities; involuntary discharge, notice.",Health and Healthcare,Derived from LIS bill summary,,
HB1391,Sickle Cell Coordinated Access Network; established.,Health and Healthcare,Derived from LIS bill summary,,
HB1357,"Nursing facilities; comprehensive study of quality of care, etc., and operational practices.",Health and Healthcare,Derived from LIS bill summary,,
HB1495,Medicaid; oversight of services facilitation for consumer directed services.,Health and Healthcare,Derived from LIS bill summary,,
HB1025,"Access to investigational drugs, etc.; patient with severely debilitating condition.",Health and Healthcare,Derived from LIS bill summary,,
HB1522,"Nursing homes and assisted living facilities; licensure, automated external defibrillators.",Health and Healthcare,Derived from LIS bill summary,,
HB1109,Managed care organizations & pharmacy benefits manager; data collection and reporting requirements.,Health and Healthcare,Derived from LIS bill summary,,
HB1385,"Higher educational institutions, public; membership of governing boards.",Higher Education,Derived from LIS bill summary,,
HB1158,"Career and technical education courses, pathways, and credentials; biennial review, report.",Higher Education,Derived from LIS bill summary,,
HB1312,Virginia student tuition and mandatory fees; two-year freeze.,Higher Education,Derived from LIS bill summary,,
HB1183,Comprehensive community colleges; machinery and equipment for courses and programs.,Higher Education,Derived from LIS bill summary,,
HB1084,Adults charged with criminal offenses punishable by incarceration; Va. Longitudinal Data System.,Higher Education,Derived from LIS bill summary,,
HB1085,New Economy Workforce Credential Grant Program; eligible institutions.,Higher Education,Derived from LIS bill summary,,
HB1440,"Protected areas; certain federal immigration enforcement prohibited, penalty.",Higher Education,Derived from LIS bill summary,,
HB1359,"Firearms; purchase requirements, penalties.",Higher Education,Derived from LIS bill summary,,
HB1099,"Student-athlete name, image, and likeness deal transparency; best practices, report.",Higher Education,Derived from LIS bill summary,,
HB1001,"Virginia College Access and Affordability Scholarship Fund; established, report.",Higher Education,Derived from LIS bill summary,,
HB1005,"Virginia Residential Landlord and Tenant Act; rental payment methods, prohibited fees.",Housing,Derived from LIS bill summary,,
HB1409,Virginia Residential Landlord and Tenant Act; prohibited provisions in rental agreements.,Housing,Derived from LIS bill summary,,
HB1361,"Virginia Residential Landlord & Tenant Act; civil action for unlawful detainer, termination notice.",Housing,Derived from LIS bill summary,,
HB1021,Affordable housing; development of an assisted living facility.,Housing,Derived from LIS bill summary,,
HB1177,Local rent stabilization authority; civil penalty.,Housing,Derived from LIS bill summary,,
HB1093,"Virginia Residential Landlord and Tenant Act; landlord remedies, attorney fees capped.",Housing,Derived from LIS bill summary,,
HB1259,Virginia Residential Landlord and Tenant Act; mold remediation.,Housing,Derived from LIS bill summary,,
HB1058,Industrial development authorities; housing allowed in certain localities.,Housing,Derived from LIS bill summary,,
HB1415,"Va. Residential Landlord and Tenant Act; public funding for multifamily residential housing, etc.",Housing,Derived from LIS bill summary,,
HB1408,"Virginia Residential Landlord and Tenant Act; landlord remedies, rental agreement noncompliance.",Housing,Derived from LIS bill summary,,
HB1007,Virginia Birth-Related Neurological Injury Compensation Program and Fund; filing of claims.,Insurance,Derived from LIS bill summary,,
HB1462,Medicaid and health insurance plans; supervised billing.,Insurance,Derived from LIS bill summary,,
HB1400,Health insurance; coverage for maternal mental health screenings.,Insurance,Derived from LIS bill summary,,
HB1161,Government. Data Collection & Dissemin. Practices Act; dissemin. of personal info. to federal gov't.,Insurance,Derived from LIS bill summary,,
HB1234,"Land development; definitions, solar canopies in surface parking areas, delayed effective date.",Insurance,Derived from LIS bill summary,,
HB1212,Zoning; small lot residential districts required.,Insurance,Derived from LIS bill summary,,
HB1296,Health insurance; credits for general registrars and employees of general registrars.,Insurance,Derived from LIS bill summary,,
HB1182,"Health insurance; coverage for contraceptive drugs & devices, including over-the-counter.",Insurance,Derived from LIS bill summary,,
HB1468,Health insurance; coverage for doula care services.,Insurance,Derived from LIS bill summary,,
HB1450,"Health insurance; claims experience information, effective clause.",Insurance,Derived from LIS bill summary,,
HB1035,"Public schools; school security and discipline, employment of school security officers, training.",Labor and Employment,Derived from LIS bill summary,,
HB1450,"Health insurance; claims experience information, effective clause.",Labor and Employment,Derived from LIS bill summary,,
HB1092,"Protection of employees; standards for heat illness prevention, report.",Labor and Employment,Derived from LIS bill summary,,
HB1007,Virginia Birth-Related Neurological Injury Compensation Program and Fund; filing of claims.,Labor and Employment,Derived from LIS bill summary,,
HB1265,"Courthouses; certain civil arrests prohibited, definition, penalty.",Labor and Employment,Derived from LIS bill summary,,
HB1440,"Protected areas; certain federal immigration enforcement prohibited, penalty.",Labor and Employment,Derived from LIS bill summary,,
HB1207,"Paid family & med. leave insurance program; definitions, notice requirements, civil action, report.",Labor and Employment,Derived from LIS bill summary,,
HB1100,Wage garnishments; treasurers' liens for unpaid taxes and charges.,Labor and Employment,Derived from LIS bill summary,,
HB1470,"Annual school division health insur. premium data collection & reporting; publication, requirement.",Labor and Employment,Derived from LIS bill summary,,
HB1451,"Warehouse employers; required disclosures and recordkeeping, civil penalties.",Labor and Employment,Derived from LIS bill summary,,
HB1394,Loitering; unhoused persons.,Local Government,Derived from LIS bill summary,,
HB1507,Fraud and Abuse Whistle Blower Protection Act; Auditor of Public Accounts.,Local Government,Derived from LIS bill summary,,
HB1000,"Rappahannock Area Transportation Authority; created, funding, Planning District 16.",Local Government,Derived from LIS bill summary,,
HB1329,Local correctional facilities; reimbursements for housing convicted state felons.,Local Government,Derived from LIS bill summary,,
HB1053,GO Virginia grants; matching funds.,Local Government,Derived from LIS bill summary,,
HB1514,"Employment decisions; automated decision systems, civil penalty.",Local Government,Derived from LIS bill summary,,
HB1096,Substantial Risk Order Reporting System; established.,Local Government,Derived from LIS bill summary,,
HB1072,Sewage sludge; local authority to test and monitor land application within its political boundaries.,Local Government,Derived from LIS bill summary,,
HB1524,"Assault firearms; carrying in public areas prohibited, exceptions, penalty.",Local Government,Derived from LIS bill summary,,
HB1181,"Alcoholic beverage control; expands definition of special events, mixed beverage caterer's licenses.",Local Government,Derived from LIS bill summary,,
HB1517,"Mandatory sequestration of record; partial sealing, good cause shown exception.",Marriage and Domestic Relations,Derived from LIS bill summary,,
HB1074,State taxation; numerous changes to the Commonwealth's tax structure.,Marriage and Domestic Relations,Derived from LIS bill summary,,
HB1302,Jurisdiction of district courts; assault and battery of a family or household member.,Marriage and Domestic Relations,Derived from LIS bill summary,,
HB1051,"Income tax, state; real property tax relief credit.",Marriage and Domestic Relations,Derived from LIS bill summary,,
HB1406,"Foreign divorce decrees; exercise of power by courts of the Commonwealth, non-domiciled party.",Marriage and Domestic Relations,Derived from LIS bill summary,,
HB1167,Public school funding; composite index of local ability-to-pay; calculation.,Marriage and Domestic Relations,Derived from LIS bill summary,,
HB1520,Spouse of an eligible service member; employment and economic opportunities.,Marriage and Domestic Relations,Derived from LIS bill summary,,
HB1244,Absentee voting; emergency application for absentee ballot.,Marriage and Domestic Relations,Derived from LIS bill summary,,
HB1223,Health professionals; mandatory suicide training required.,Marriage and Domestic Relations,Derived from LIS bill summary,,
HB1382,"Members of U.S. Armed Forces, etc.; domicile & residential requirements for annulment, etc.",Marriage and Domestic Relations,Derived from LIS bill summary,,
HB1055,Virginia Law Officers' Retirement System; membership includes full-time sworn unit investigators.,"Pensions, Benefits, and Retirement",Derived from LIS bill summary,,
HB1107,"Virginia Retirement System; service retirement allowance, members who return to work.","Pensions, Benefits, and Retirement",Derived from LIS bill summary,,
HB1306,"Virginia Retirement System; return to work, break in service.","Pensions, Benefits, and Retirement",Derived from LIS bill summary,,
HB1128,"Va. Retirement System; enhanced retirement benefits for 911 dispatchers, delayed effective date.","Pensions, Benefits, and Retirement",Derived from LIS bill summary,,
HB1269,Virginia Law Officers' Retirement System; extends membership to emergency dispatchers.,"Pensions, Benefits, and Retirement",Derived from LIS bill summary,,
HB1267,"Virginia Law Officers' Retirement System; membership, definition of ""employee.""","Pensions, Benefits, and Retirement",Derived from LIS bill summary,,
HB1488,Virginia Retirement System; return to work for law-enforcement officers.,"Pensions, Benefits, and Retirement",Derived from LIS bill summary,,
HB1026,Foreign-trained chiropractors; licensure by endorsement.,Professions and Occupations,Derived from LIS bill summary,,
HB1117,"Professional and Occupational Regulation, Department of; universal license recognition.",Professions and Occupations,Derived from LIS bill summary,,
HB1383,"Technical prof. license; curriculum & instruction coursework, comprehensive community colleges.",Professions and Occupations,Derived from LIS bill summary,,
HB1139,"Medicine, Board of; membership, removal of residence requirements.",Professions and Occupations,Derived from LIS bill summary,,
HB1195,"School bds., etc.; applicants for employment involving direct contact w/children in public schools.",Professions and Occupations,Derived from LIS bill summary,,
HB1147,"Medicine and Nursing, Boards of; continuing education, bias reduction training.",Professions and Occupations,Derived from LIS bill summary,,
HB1488,Virginia Retirement System; return to work for law-enforcement officers.,Public Safety,Derived from LIS bill summary,,
HB1285,"St Emergency Med. Services Advisory Bd.; membership, regional emergency medical services councils.",Public Safety,Derived from LIS bill summary,,
HB1432,"Marijuana or marijuana products; underage possession, consequences, procedures.",Public Safety,Derived from LIS bill summary,,
HB1300,"State Police,  Department of; purchase of handguns or other weapons of certain officers.",Public Safety,Derived from LIS bill summary,,
HB1219,"Unmanned aircraft systems; use by law-enforcement officers, search warrants.",Public Safety,Derived from LIS bill summary,,
HB1220,Photo speed monitoring devices; placement and operation.,Public Safety,Derived from LIS bill summary,,
HB1321,"Primaries; abstract of votes, law-enforcement officer to obtain returns not forwarded.",Public Safety,Derived from LIS bill summary,,
HB1333,Paid firefighters; hours of work.,Public Safety,Derived from LIS bill summary,,
HB1261,Law-enforcement agencies; use of certain technology & interrogation practices; forensic laboratory.,Public Safety,Derived from LIS bill summary,,
HB1027,"Children; use of communication systems to facilitate certain offenses, exception.",Public Safety,Derived from LIS bill summary,,
HB1024,"Community Services Block Grant Program; revision of funding allocation formula, report.",Social Services,Derived from LIS bill summary,,
HB1088,"Assisted living facilities; involuntary discharge, notice.",Social Services,Derived from LIS bill summary,,
HB1222,"Social services, local departments of; child abuse and neglect, recorded interviews.",Social Services,Derived from LIS bill summary,,
HB1511,"Fatherhood Initiative; fatherhood needs assessment, etc.",Social Services,Derived from LIS bill summary,,
HB1490,"Child abuse or neglect; establishes centralized hotline for reports or complaints, report.",Social Services,Derived from LIS bill summary,,
HB1366,Local boards & departments; DSS to create corrective action plans & assumption of temporary control.,Social Services,Derived from LIS bill summary,,
HB1293,DJJ; transfer of responsibility to Secretary of Health and Human Resources.,Social Services,Derived from LIS bill summary,,
HB1297,"Adult protective services; creates adult abuse, neglect, and exploitation central registry.",Social Services,Derived from LIS bill summary,,
HB1116,Publicly accessible nursing home info. portal; reporting of incident involving emerg. med. services.,Social Services,Derived from LIS bill summary,,
HB1529,"Tax Commissioner; information sharing, eligibility for medical assistance.",Social Services,Derived from LIS bill summary,,
HB1405,Certain decedents; local department of social services allowed to pay reasonable funeral expense.,State Government,Derived from LIS bill summary,,
HB1321,"Primaries; abstract of votes, law-enforcement officer to obtain returns not forwarded.",State Government,Derived from LIS bill summary,,
HB1009,"Administration of government; language access equity, report.",State Government,Derived from LIS bill summary,,
HB1311,Employees of state government; personal interest in certain contracts prohibited.,State Government,Derived from LIS bill summary,,
HB1206,"State employees & public elementary & secondary school teachers; required annual trainings, report.",State Government,Derived from LIS bill summary,,
HB1126,Native migratory fish; protection.,State Government,Derived from LIS bill summary,,
HB1056,Voter registration by political party affiliation; partially closed primary elections.,State Government,Derived from LIS bill summary,,
HB1421,"Local and Regional Jails, State Board of; transferring administrative and supervisory authority.",State Government,Derived from LIS bill summary,,
HB1188,"Virginia Boys and Men Advisory Commission; established, report, sunset provision.",State Government,Derived from LIS bill summary,,
HB1263,"Public employees; repeals existing prohibition on collective bargaining, etc.",State Government,Derived from LIS bill summary,,
HB1120,"Electric power-assisted bicycles, etc.; improving safety for operators and general public, report.","Study Commissions, Committees, and Reports",Derived from LIS bill summary,,
HB1249,"Creative Economy Task Force; established, strategic plan, report, sunset.","Study Commissions, Committees, and Reports",Derived from LIS bill summary,,
HB1124,"Autonomous vehicles; work group to conduct an assessment of workforce impacts, etc.","Study Commissions, Committees, and Reports",Derived from LIS bill summary,,
HB1456,"Gov't efficiency; agency reporting requirement, etc., jt. subcom. on Gov't. Efficiency established.","Study Commissions, Committees, and Reports",Derived from LIS bill summary,,
HB1001,"Virginia College Access and Affordability Scholarship Fund; established, report.","Study Commissions, Committees, and Reports",Derived from LIS bill summary,,
HB1126,Native migratory fish; protection.,"Study Commissions, Committees, and Reports",Derived from LIS bill summary,,
HB1346,"Noncustodial Parent Employment and Child Support Pilot Program; created, report, sunset.","Study Commissions, Committees, and Reports",Derived from LIS bill summary,,
HB1353,"Statewide maternal health safety initiative; Commissioner of Health, et al., to evaluate, report.","Study Commissions, Committees, and Reports",Derived from LIS bill summary,,
HB1221,"Higher ed. financial aid programs; amends provisions, Va. Commonwealth Award established, report.","Study Commissions, Committees, and Reports",Derived from LIS bill summary,,
HB1464,"Victims of crime; reimbursement for expenses, report.","Study Commissions, Committees, and Reports",Derived from LIS bill summary,,
HB1272,"Electronic gaming devices; regulation, penalties, sunset.",Taxes and Revenue,Derived from LIS bill summary,,
HB1448,Petersburg Parking Authority; created.,Taxes and Revenue,Derived from LIS bill summary,,
HB1258,"Pass-through limitation tax credit; report, penalty.",Taxes and Revenue,Derived from LIS bill summary,,
HB1474,Retail Sales and Use Tax; exceptions for aircraft dealers.,Taxes and Revenue,Derived from LIS bill summary,,
HB1211,"Income tax, state; first-time homebuyer tax credit.",Taxes and Revenue,Derived from LIS bill summary,,
HB1407,"Charitable gaming; veterans service organizations, use of proceeds.",Taxes and Revenue,Derived from LIS bill summary,,
HB1133,Virginia Solar Energy and Battery Energy Storage Systems Program; established.,Taxes and Revenue,Derived from LIS bill summary,,
HB1179,"Transportation; changes various provisions of existing funds, etc.",Taxes and Revenue,Derived from LIS bill summary,,
HB1059,Bath and Augusta Counties School Boards; cost-savings agreements.,Taxes and Revenue,Derived from LIS bill summary,,
HB1230,"Income tax, state; sustainable aviation fuel production tax credit.",Taxes and Revenue,Derived from LIS bill summary,,
HB1514,"Employment decisions; automated decision systems, civil penalty.",Technology and Data,Derived from LIS bill summary,,
HB1500,Civil and criminal actions; service of subpoena for certain electronic records.,Technology and Data,Derived from LIS bill summary,,
HB1003,"Transportation network companies; establishes minimum compensation rates, civil penalty.",Technology and Data,Derived from LIS bill summary,,
HB1409,Virginia Residential Landlord and Tenant Act; prohibited provisions in rental agreements.,Technology and Data,Derived from LIS bill summary,,
HB1261,Law-enforcement agencies; use of certain technology & interrogation practices; forensic laboratory.,Technology and Data,Derived from LIS bill summary,,
HB1186,Artificial intelligence; use of systems for student instruction.,Technology and Data,Derived from LIS bill summary,,
HB1170,Law-enforcement agencies & sheriff's dept.; policy on use of covered artificial intelligence syst.,Technology and Data,Derived from LIS bill summary,,
HB1521,Digital innovation & infrastructure; establishing rights in digital property & technology resources.,Technology and Data,Derived from LIS bill summary,,
HB1257,Law-enforcement agencies; use of certain technologies & interrogation practices; forensic lab.,Technology and Data,Derived from LIS bill summary,,
HB1295,"Law enforcement; artificial intelligence inventory, civil action.",Technology and Data,Derived from LIS bill summary,,
HB1000,"Rappahannock Area Transportation Authority; created, funding, Planning District 16.",Transportation,Derived from LIS bill summary,,
HB1032,Rest areas and welcome centers; Department of Transportation to provide adult changing stations.,Transportation,Derived from LIS bill summary,,
HB1356,"Precipitation design standards; non-stationary precipitation, climate-adjusted rainfall.",Transportation,Derived from LIS bill summary,,
HB1241,"Hampton Roads Infrastructure Coordination and Readiness Framework; HRTPO to develop, report.",Transportation,Derived from LIS bill summary,,
HB1125,"Automated driving systems; requirements for operation, civil penalties, report.",Transportation,Derived from LIS bill summary,,
HB1457,"Vehicle weight limits; violations, owner or lessee of commercial motor vehicle hauling coal.",Transportation,Derived from LIS bill summary,,
HB1273,"Transportation network companies; requirements, civil penalties.",Transportation,Derived from LIS bill summary,,
HB1394,Loitering; unhoused persons.,Transportation,Derived from LIS bill summary,,
HB1124,"Autonomous vehicles; work group to conduct an assessment of workforce impacts, etc.",Transportation,Derived from LIS bill summary,,
HB1330,"Speed safety cameras, pedestrian crossing violation monitoring systems, etc.; violation enforcement.",Transportation,Derived from LIS bill summary,,
HB1513,"Qualified self-settled spendthrift trusts; disbursements, powers of trustee.","Wills, Trusts, and Fiduciaries",Derived from LIS bill summary,,
HJ22,"Birthplace of American Cuisine Day; designates as April 27, 2026, & each succeeding year thereafter.",Unclassified,Unclassified,,
SB820,"Community Builders Pilot Program; name change, statewide demonstration model site, repeals sunset.",Unclassified,Unclassified,,
HB788,Vehicle crash reports; open to inspection by towing and recovery operators.,Unclassified,Unclassified,,
HB1110,Blue catfish; Marine Products Board shall establish Chesapeake Wild Harvest certification.,Unclassified,Unclassified,,
HB970,"Dental assistants; supragingival scaling and coronal polishing, certification.",Unclassified,Unclassified,,
HB637,Possession of residue of a controlled substance unlawful; penalties exceptions.,Unclassified,Unclassified,,
HB1459,Ice-Free Comm. Act; notifi. to fed. immigr. authorities of pending release of persons from custody.,Unclassified,Unclassified,,
HB518,"Streaming advertisement volume control; definitions, volume of advertisements, civil penalties.",Unclassified,Unclassified,,
HB1057,Virginia Rural Housing Infrastructure Fund and Program; created and established.,Unclassified,Unclassified,,
HB778,Pop-up events; local enhanced enforcement actions.,Unclassified,Unclassified,,
HB949,"Covenants not to compete; exceptions, civil penalty.",Unclassified,Unclassified,,
HB483,Prescription Drug Affordability Board; established.,Unclassified,Unclassified,,
SB244,Managed care organization contracts; notice to providers.,Unclassified,Unclassified,,
HB249,Marcus alert system; external database information removal.,Unclassified,Unclassified,,
HJ8,15th Judicial Circuit; Judicial Council of Virginia to study organization and boundaries.,Unclassified,Unclassified,,
HR6,House of Delegates; establishing rules for the 2026-2027 Sessions of the General Assembly.,Unclassified,Unclassified,,
SB138,"PFAS monitoring; DEQ to require for industrial wastewater source, publicly owned treatment works.",Unclassified,Unclassified,,
SB665,Local housing policy; expands the range of changes that are required.,Unclassified,Unclassified,,
SB768,"Commonwealth Flood Prevention Match Assistance Fund and Program; established, report.",Unclassified,Unclassified,,
SB419,Retirement systems; one additional year creditable service for certain individuals.,Unclassified,Unclassified,,
SB435,"Lane filtering; motorcycles, penalty, delayed effective date.",Unclassified,Unclassified,,
HB1073,Advanced leak detection technologies; SCC shall establish standards for use by certain facilities.,Unclassified,Unclassified,,
HB883,"VDOT's approval process; projects involving buildings, road development, and other construction.",Unclassified,Unclassified,,
HR7,"House of Delegates; salaries, contingent and incidental expenses.",Unclassified,Unclassified,,
SB701,Virginia Lottery; disclosure of identity of winners.,Unclassified,Unclassified,,
HB999,"Virginia Human Rights Act; equal credit opportunities, Virginia Fair Housing Law, nondiscrimination.",Unclassified,Unclassified,,
HB756,"Death certificates; petitions to the court to amend, service upon State Registrar of Vital Records.",Unclassified,Unclassified,,
HB179,"Virginia Fleet Modernization Advisory Council; established, report, sunset.",Unclassified,Unclassified,,
SB205,Early Intervention Program for Infants and Toddlers with Disabilities; program extension.,Unclassified,Unclassified,,
SB56,"FOIA; procedure for responding to requests, charges, posting of notice of rights & responsibilities.",Unclassified,Unclassified,,
HB398,"Safeguarding American Veteran Empowerment Act; created, prohibited practices, penalties.",Unclassified,Unclassified,,
SB784,Bioslurry; prohibiting injection in wells in a groundwater management area.,Unclassified,Unclassified,,
HB408,Enterprise Zone Housing Availability Grant Program; established.,Unclassified,Unclassified,,
HB336,"Fetal and Infant Mortality Review Team; established, penalty, report.",Unclassified,Unclassified,,
HB1398,"Fetal and Infant Mortality Review Team; established, definitions, penalty, report.",Unclassified,Unclassified,,
HB718,Summons; issuance instead of warrant in certain cases.,Unclassified,Unclassified,,
HB638,"Data brokers; regulation, civil penalties.",Unclassified,Unclassified,,
SJ19,Commemorating the life and legacy of Gene Vincent.,Unclassified,Unclassified,,
HB742,Barbers; establishes licensure for barbershop trainees.,Unclassified,Unclassified,,
HB394,Fire Programs Fund; increases assessment.,Unclassified,Unclassified,,
HB755,"School Construction Program; use of grants, debt service.",Unclassified,Unclassified,,
HB228,"Accountancy, Board of; licensing requirements, inactive and emeritus status.",Unclassified,Unclassified,,
HB1334,Militia state active duty; cyber-related support.,Unclassified,Unclassified,,
SB541,Time zone; permanent Eastern Standard Time in the Commonwealth.,Unclassified,Unclassified,,
SB746,"Property Owners' Association Act; operation and management of assoc., condemnation of common area.",Unclassified,Unclassified,,
SB585,"Virginia Fair Housing Law, et al.; personalized algorithmic pricing disclosures, prohibitions.",Unclassified,Unclassified,,
SJ48,United States Navy; ship naming.,Unclassified,Unclassified,,
SB397,"Courthouse, jail, & court-related facilities; assessment of costs for construction, renovation, etc.",Unclassified,Unclassified,,
HB239,Loudoun County; DCR to accept property to establish a state park.,Unclassified,Unclassified,,
SB258,Virginia Human Rights Act; reasonable accommodation for known limitations related to menopause.,Unclassified,Unclassified,,
HB852,"Indigent defendant; abolition of fees, legal representation, jury trial costs, report.",Unclassified,Unclassified,,
HB277,"Zoning; wireless facility modifications, application process.",Unclassified,Unclassified,,
SB238,"Va. School for the Deaf & the Blind, Board of Visitors of the; authority to establish campus police.",Unclassified,Unclassified,,
HB46,Judges; maximum number in each judicial circuit.,Unclassified,Unclassified,,
HB208,Anti-harassment orders; creates a procedure for issuing an order.,Unclassified,Unclassified,,
SB183,Restaurants; identifying markers on delivery/carry out food due to consumer-identified food allergy.,Unclassified,Unclassified,,
SB454,Zoning; by-right multifamily residential development.,Unclassified,Unclassified,,
SB549,"General Assembly; intergovernmental affairs, etc.",Unclassified,Unclassified,,
SB399,"Driver training school and driver training instructors; standards, discipline, report.",Unclassified,Unclassified,,
SB546,"Mortgages; annual notice of potential assumption required, delayed effective date.",Unclassified,Unclassified,,
HB117,"Youth, Virginia Commission on; nonlegislative citizen member, person younger than 18 years of age.",Unclassified,Unclassified,,
HB660,Court fines and fees; waiver of fees for indigent defendant.,Unclassified,Unclassified,,
SB314,Tourism improvement districts; transient occupancy tax in Arlington County.,Unclassified,Unclassified,,
HB246,"Mental illness, neurocognitive disorder, etc.; affirmative defense or reduced penalty.",Unclassified,Unclassified,,
HB1465,"Blue catfish; marketing & production, Marine Prod. Board to establish full-time equivalent position.",Unclassified,Unclassified,,
SB559,Forgery or certain violations; amends venue provisions for prosecution.,Unclassified,Unclassified,,
HB621,"Property Owners' Association Act; disclosure requirements, declarant control.",Unclassified,Unclassified,,
HB183,"First-time home buyer savings plan; townhouses, principal limits.",Unclassified,Unclassified,,
HB404,"Enslaved Ancestors College Access Scholarship and Memorial Program; scholarships, administration.",Unclassified,Unclassified,,
HB939,"Higher ed. institu., baccalaureate public; board of visitors of Richard Bland College, membership.",Unclassified,Unclassified,,
HB695,"Restaurants; sodium warning label required, civil penalty.",Unclassified,Unclassified,,
HB13,RS and UT; food purchased for human consumption and essential personal hygiene products.,Unclassified,Unclassified,,
SB707,"Dogs; devocalization, prohibited, exception, penalty.",Unclassified,Unclassified,,
HB257,Comprehensive plan; social determinants of health.,Unclassified,Unclassified,,
HJ20,"Legacy property managed retreat studies; JLARC to study, non-federal sponsor contributions.",Unclassified,Unclassified,,
SJ209,Governor; confirming appointments.,Unclassified,Unclassified,,
HB1236,"Historical African American cemeteries and graves; qualified organization, Fairfax burial grounds.",Unclassified,Unclassified,,
SB615,"Consumer Data Protection Act; online device pricing, prohibition.",Unclassified,Unclassified,,
HB363,Regional Innovation Fund and Commonwealth Commercialization Fund; matching funds.,Unclassified,Unclassified,,
SB605,"Accountancy, Board of; licensing requirements, inactive and emeritus status.",Unclassified,Unclassified,,
HB752,"Mechanics' liens; liens attaching to property, memorandum of lien.",Unclassified,Unclassified,,
SB475,Court Date Reminder Program; established.,Unclassified,Unclassified,,
SJ69,Governor; confirming appointments.,Unclassified,Unclassified,,
SB679,"Regulatory Management, Office of; established.",Unclassified,Unclassified,,
HB390,"Habitat Policy Oversight Committee; established, membership, powers and duties, report.",Unclassified,Unclassified,,
HB924,"Public Instruction, Super. of; state program to support improvement of low-performing schools.",Unclassified,Unclassified,,
HB202,"Single-family-homes; prohibited acquisition, civil penalty.",Unclassified,Unclassified,,
HB441,"Judicial Inquiry and Review Commission; reform, increases membership.",Unclassified,Unclassified,,
HB108,Honor Guard Grant Program; Department of Veterans Services to establish.,Unclassified,Unclassified,,
HB223,Public defender; local funding for positions.,Unclassified,Unclassified,,
SB296,County manager plan of government; affordable dwelling unit ordinance.,Unclassified,Unclassified,,
HB679,Zoning; special exceptions for City of Portsmouth.,Unclassified,Unclassified,,
HB152,Little bluestem (Schizachyrium scoparium); designating as the official state grass.,Unclassified,Unclassified,,
